"address_line_1__v","latitude__v","longitude__v","postal_code__v","infusion_chairs__v","infusions_performed__v","npi_num__v","hco_name_cda__v"
"200 1st St SW","44.022129999999997","-92.466629999999995","55905-0001","","","1922074434","Mayo Clinic"
"3300 Mercy Health Blvd","39.179949999999998","-84.595789999999994","45211-1103","","","1982728036","Mercy Health-West Hospital"
"1600 SW Archer Rd HD-204","29.639900000000001","-82.343410000000006","32610-3003","","","","UF Health Pediatric Hematology Oncology"
"111 Michigan Ave NW","38.930500000000002","-77.016400000000004","20010-2916","","","","Childrens National Hospital Pulmonary Medicine"
"450 Brookline Ave","42.337899999999998","-71.108199999999997","02215-5418","","","","Dana Farber Cancer Institute Carrasco Lab"
"1991 Marcus Ave Ste M100","40.756810000000002","-73.691090000000003","11042-2062","","","","Cohen Childrens Northwell Health Physicians Partners At Lake Success"
"8095 Innovation Park Dr","38.854878999999997","-77.281570000000002","22031-4868","","","","Inova Health System"
"929 Gessner Rd Ste 2600","29.782520000000002","-95.545479999999998","77024-2593","","","","Memorial Hermann Healthcare System"
"1580 NW 10th Ave Fl 1","25.789974000000001","-80.211093000000005","33136-1013","","","1427609080","Batchelor Childrens Research Institute"
"200 Hawkins Dr","41.659061000000001","-91.549909999999997","52242-1009","","","","University Of Iowa Holden Comprehensive Cancer Center-Medical Center At University Campus"
"1959 NE Pacific St Fl 8","47.650260000000003","-122.30708","98195-0001","","","","Neurology Clinic At UW Medical Center-Montlake"
"88 E Newton St C-8","42.336880000000001","-71.071218000000002","02118-2308","","","","Boston Medical Center Medical Cardiovascular Center"
"1801 Senate Blvd Ste 400","39.7911","-86.161969999999997","46202-1213","","","","IU Health Physicians Cardiology"
"1990 Holton Ave E","36.87715","-82.754390000000001","24219-3350","","","1801826912","Lonesome Pine Hospital"
"55 Fruit St","42.36262","-71.070139999999995","02114-2621","","","","Mass General For Children Chronic Pediatric Pain Clinic"
"1270 Belmont Ave","42.82188","-73.914330000000007","12308-2104","","","1578664470","Sunnyview Rehabilitation Hospital"
"5855 Bremo Rd Ste 210","37.58428","-77.512720000000002","23226-1922","","","1639170558","Virginia Emergency Associates Inc"
"720 20th St S","33.504919999999998","-86.800259999999994","35233-2032","","","","University Of Alabama Health Services Foundation PC Genetics"
"1801 N Senate Blvd Ste 2000","39.790410000000001","-86.165319999999994","46202-1252","","","1417285230","IU Health Advanced Heart And Lung Care"
"601 Colorado St","30.268439999999998","-97.744140000000002","78701-2904","","","","University Of Texas System"
"1665 Aurora Ct","39.742885999999999","-104.837608","80045-2517","","","","Uchealth Anschutz Cancer Pavilion-Anschutz Medical Campus"
"45 Francis St","42.335090000000001","-71.106099999999998","02115-6105","","","","Brigham And Womens Hospital Division Of Urological Surgery"
"1250 E Marshall St","37.539990000000003","-77.429370000000006","23298-5023","","","","Virginia Commonwealth University Health System"
"340 W 10th St Ste 4100","39.781550000000003","-86.16516","46202-3082","","","","Indiana University Health System"
"1 Baylor Plz","29.710460000000001","-95.395889999999994","77030-3411","","","","Baylor College Of Medicine Admin"
"789 Howard Ave","41.302480000000003","-72.935739999999996","06519-1304","","","","Yale New Haven Health System"
"1919 E Thomas Rd","33.480260000000001","-112.0416","85016-7710","","","","Phoenix Childrens Hospital System"
"805 Sandy Plains Rd","33.99689","-84.526650000000004","30066-6340","","","1275992240","Wellstar Health System"
"1000 Blythe Blvd","35.203980000000001","-80.839089999999999","28203-5812","","","","Carolinas Healthcare System ACO LLC"
"1301 Medical Center Dr Ste 3903","36.14087","-86.801959999999994","37232-0028","","","","Vanderbilt Hematology Clinic"
"1 Hoag Dr","33.640039999999999","-117.86524","92663-4162","","","","Hoag Healthcare"
"1600 Rockland Rd","39.782389999999999","-75.555269999999993","19803-3607","","","","Nemours Dupont Hospital For Children"
"601 N Caroline St","39.29721","-76.597350000000006","21287-0006","","","","Johns Hopkins Hospital Neurology And Neurosurgery"
"1635 Aurora Ct","39.7423","-104.83945","80045-2517","","","","UC Health Anschutz Outpatient Pavilion"
"55 Lake Ave N","42.278509999999997","-71.759079999999997","01655-0002","","","","University Of Massachusetts Memorial Childrens Medical Center"
"20 Medical Village Dr","39.013770000000001","-84.561080000000004","41017-5401","","","","St Elizabeth Healthcare"
"1968 Peachtree Rd NW","33.80885","-84.395539999999997","30309-1281","","","","Piedmont Healthcare"
"300 Longwood Ave","42.33717","-71.10557","02115-5724","","","1497187223","Boston Childrens Hospital-Division Of Adolescent Medicine"
"535 Mission Bay Blvd S Fl 1","37.770648000000001","-122.390152","94143-2156","","","","Cardiovascular Care And Prevention Center At Mission Bay"
"2450 Riverside Ave Fl 12","44.967390000000002","-93.237309999999994","55454-1515","","","","M Health Fairview Pediatric Specialty Clinic-Explorer"
"1204 W Main St","38.032879999999999","-78.497470000000007","22903-2824","","","","UVA Health-Pediatric Endocrinology Clinic"
"1695 Eastchester Rd Fl 1 Fl 2","40.846200000000003","-73.844989999999996","10461-2375","","","1013102342","Montefiore Einstein Comprehensive Cancer Center"
"200 Lothrop St","40.441780000000001","-79.961200000000005","15213-2536","","","1154735231","UPMC Presbyterian"
"330 S 9th St Fl 3","39.944879999999998","-75.156710000000004","19107-6103","","","","Penn Neurology Pennsylvania Hospital"
"770 Welch Rd","37.43815","-122.17609","94304-1511","","","","Specialty Services-Welch Rd"
"2301 Erwin Rd","35.984369000000001","-78.994780000000006","27705-4699","","","","Duke Childrens"
"1200 E Broad St","37.539389999999997","-77.430139999999994","23298-5025","","","","VCU Medical Center West Hospital"
"35 Hope Dr Ste 104","40.2699","-76.659570000000002","17033-2008","","","1205801537","Penn State Health Pediatric Specialties"
"7007 Powers Blvd","41.381900000000002","-81.730789999999999","44129-5437","","","1164481677","University Hospitals Parma Medical Center"
"600 Highland Ave","43.077060000000003","-89.431550000000001","53792-0001","","","1922043744","UW Health University Hospital"
"75 Francis St","42.336109999999998","-71.107479999999995","02115-6110","","","1972577799","Brigham And Womens Hospital"
"335 SE 8th Ave","45.519759999999998","-122.97803999999999","97123-4246","","","1275591984","OHSU Health Hillsboro Medical Center"
"1701 Innovation Dr","39.983960000000003","-76.768709999999999","17408-8815","","","1063945707","UPMC Memorial"
"2123 Auburn Ave Ste 334","39.120159999999998","-84.508880000000005","45219-2906","","","","The Christ Hospital Physicians Primary Care-Ste 334"
"505 Parnassus Ave","37.763249999999999","-122.45825000000001","94143-2204","","","1689772592","UCSF Medical Center"
"5721 S Maryland Ave Mc 3055","41.790529999999997","-87.604619999999997","60637-1425","","","","Comer Childrens Hospital-Hyde Park"
"2450 Riverside Ave Rm M146","44.967100000000002","-93.237020000000001","55454-1515","","","","M Health Fairview Pediatric Therapy Minneapolis Masonic Childrens Hospital"
"350 Parrish St","42.875889999999998","-77.28998","14424-1731","","","1194776351","F F Thompson Hospital"
"2000 Brookside Dr","36.55057","-82.514650000000003","37660-4627","","","1992813240","Indian Path Community Hospital"
"75 Francis St","42.336109999999998","-71.107479999999995","02115-6110","","","1861410300","Brigham And Womens Hospital-Womens Health"
"12866 Troxler Ave","38.755240000000001","-89.667990000000003","62249-2806","","","1447352323","HSHS St Josephs Hospital"
"6621 Fannin St","29.70815","-95.400369999999995","77030-2358","","","","Bcm Division Of Pediatric Neurology And Developmental Neuroscience"
"535 N Wilmot Rd Ste 101","32.22777","-110.85903","85711-2683","","","1932708328","Banner Health-Diamond Childrens Multispecialty Services Clinic"
"445 N Hilltop Ave","37.001800000000003","-101.90475000000001","67950-5315","","","1770511297","Morton County Health System"
"100 Michigan St NE Fl 10","42.969999999999999","-85.665130000000005","49503-2560","","","","Corewell Health Grand Rapids Hospitals Cancer Hematology-Helen Devos Childrens"
"2020 Ogden Ave Ste 400","41.728769999999997","-88.266890000000004","60504-5898","","","","AMG Aurora Pediatric Specialists"
"300 W Morgan St Ste 700","35.998530000000002","-78.902280000000005","27701-2162","","","","VISN 6 Mid Atlantic Healthcare Network"
"12605 E 16th Ave","39.742249999999999","-104.84178","80045-2520","","","","Uchealth"
"525 E Market St","41.08014","-81.500919999999994","44304-1619","","","1700058237","Summa Health System"
"4555 Executive Dr","32.875869999999999","-117.20911","92121-3025","","","","Scripps Health"
"1200 Northside Forsyth Dr","34.17868","-84.140810000000002","30041-7659","","","1376574277","Northside Hospital-Forsyth"
"55 Fruit St","42.36262","-71.068299999999994","02114-2621","","","1801874573","Mass General Physicians Organization Inc"
"615 Commonwealth Dr","36.955106000000001","-82.605692000000005","24273-4053","","","","Wellmont Cva Heart Institute In Norton"
"825 Eastlake Ave E","47.626240000000003","-122.3301","98109-4405","","","1164493847","Fred Hutchinson Cancer Center South Lake Union Clinic"
"100 Hospital Ave","41.114919999999998","-78.775149999999996","15801-1440","","","","Penn Highlands Healthcare"
"700 Childrens Dr","39.95252","-82.979309999999998","43205-2664","","","1508895608","Childrens Radiological Institute Inc"
"2500 N State St","32.328710000000001","-90.175460000000001","39216-4500","","","","University Of Mississippi Comprehensive Epilepsy Center"
"75 Francis St","42.336109999999998","-71.107479999999995","02115-6110","","","","Brigham And Womens Hospital Division Of Otolaryngology"
"1211 Union Ave","35.136629999999997","-90.021339999999995","38104-6638","","","1558365890","Methodist Le Bonheur Healthcare"
"2985 Drew St","27.966059999999999","-82.715090000000004","33759-3012","","","1669453171","Baycare Health System"
"5101 N O Connor Blvd","32.870019999999997","-96.942179999999993","75039-5714","","","","Christus Health"
"410 W 10th Ave","39.994101000000001","-83.017471","43210-1240","","","","Ohio State University Health System"
"1635 Aurora Ct","39.7423","-104.83945","80045-2517","","","","Uchealth Rheumatology Clinic-Anschutz Medical Campus"
"200 Hawkins Dr","41.659061000000001","-91.549909999999997","52242-1009","","","","University Of Iowa Healthcare"
"1611 NW 12th Ave","25.790613","-80.214983000000004","33136-1005","","","","Jackson Health System"
"6624 Fannin St Ste 1100","29.709160000000001","-95.402029999999996","77030-2323","","","","CHI St Lukes Health Administrative Office"
"343 Thornall St","40.560789999999997","-74.335830000000001","08837-2206","","","","Hackensack Meridian Health"
"101 Manning Dr C Fl 2","35.904440000000001","-79.048940000000002","27514-4220","","","","UNC Medical Center-Division Of Nephrology And Hypertension"
"903 W Martin St","29.431059999999999","-98.502669999999995","78207-0903","","","","Robert B Green Campus"
"169 Martin Ave","40.187609999999999","-76.182609999999997","17522-1734","1","Yes/True","1083615587","Wellspan Ephrata Community Hospital"
"1000 Bower Hill Rd","40.377339999999997","-80.067149999999998","15243-1873","","","1073587119","St Clair Hospital"
"4300 Alton Rd 5","25.813120000000001","-80.139380000000003","33140-2948","","","1912964768","Mount Sinai Medical Center"
"1035 116th Ave NE","47.6205","-122.18583","98004-4604","","","1285848432","Overlake Medical Center And Clinics"
"4500 Memorial Dr","38.550199999999997","-90.021439999999998","62226-5360","","Yes/True","1982796181","Memorial Hospital"
"6777 W Maple Rd","42.537849999999999","-83.407179999999997","48322-3013","1","Yes/True","1407867559","Henry Ford West Bloomfield Hospital"
"20333 W 151st St","38.852580000000003","-94.822999999999993","66061-5350","","","1144266115","Olathe Medical Center"
"1350 13th Ave S","30.27318","-81.398619999999994","32250-3203","","","1821155912","Baptist Medical Center Beaches"
"400 Highland Ave","40.61815","-77.567989999999995","17044-1167","","","1013061837","Geisinger Lewistown Hospital"
"200 Medical Park Blvd","37.18365","-77.361469999999997","23805-9274","","","1720623853","Bon Secours-Southside Medical Center"
"6051 Memorial Dr","40.136000000000003","-83.146630000000002","43017-8218","","","1386031896","Hand In Hand Pediatrics"
"601 Elmwood Ave","43.124400000000001","-77.623679999999993","14642-0001","","","","Multiple Sclerosis And Neuroimmunology-Clinical Services"
"1 Saint Elizabeth Blvd","38.595861999999997","-89.921508000000003","62269-1099","","","1629057302","HSHS St Elizabeths Hospital"
"5323 Harry Hines Blvd Stop 9068","32.812480000000001","-96.842209999999994","75390-9068","","","1073651840","UT Southwestern Medical Center Pediatrics"
"401 N Sawyer Rd","41.448410000000003","-85.296220000000005","46755-2568","","","1457366189","Parkview Noble Hospital"
"3901 Rainbow Blvd","39.056150000000002","-94.610619999999997","66160-8500","","","","Ku Medical Center-Allergy Clinical Immunology And Rheumatology Division"
"2050 Meadowview Pkwy","36.507350000000002","-82.573220000000006","37660-7332","","","1356669568","Ballad-Cva Heart Institute-Kingsport"
"818 E Broadway St","38.124369999999999","-89.691370000000006","62286-1820","","","1548216476","Sparta Community Hospital"
"506 3rd St","38.470829999999999","-101.74979","67879-9684","","","1285742536","Greeley County Health Services"
"1 Childrens Pl","38.637749999999997","-90.26491","63110-1002","","","","St Louis Childrens Hospital-Department Of Pediatrics"
"280 Chestnut St","42.10868","-72.594049999999996","01104-3563","","","","Baystate Health"
"1215 Lee St","38.031951999999997","-78.498711","22908-0816","","","1699976019","University Of Virginia Health System"
"1120 15th St","33.449831000000003","-82.081615999999997","30912-0004","","","","Augusta University Medical Center Admin Office"
"5801 Bremo Rd","37.58511","-77.512540000000001","23226-1907","","","","Bon Secours Richmond Health System Administration"
"300 Longwood Ave","42.336889999999997","-71.105369999999994","02115-5724","","","","Boston Childrens Hospital System"
"2301 Erwin Rd","36.00817","-78.937280000000001","27705-4699","","","","Duke Children Hospital And Health Center"
"1000 Blythe Blvd","35.204585999999999","-80.838412000000005","28203-5812","","","","Atrium Health Admin Office"
"5 Plainsboro Rd Ste 590","40.339660000000002","-74.62715","08536-1917","","","","Hamilton Cardiology Associates"
"330 Brookline Ave","42.339790000000001","-71.104879999999994","02215-5400","","","1932547155","BIDMC Division Of Pulmonology Critical Care And Sleep Medicine"
"200 W Arbor Dr","32.753880000000002","-117.16555","92103-1911","","","","UC San Diego Health System"
"1575 Northeast Expy","33.898761999999998","-84.248379","30340","","","1215444252","Childrens Healthcare Of Atlanta Inc Arthur M Blank Hospital"
"800 Howard Ave Fl 3","41.302579999999999","-72.936419999999998","06519-1369","","","","Yale Neurosciences Institute"
"55 Fruit St LL3","42.36262","-71.068299999999994","02114-2621","","","1427423946","Mass General Cancer Center"
"75 Francis St","42.336109999999998","-71.107479999999995","02115-6110","","","","Phyllis Jen Center For Primary Care Brigham And Womens Hospital"
"1295 NW 14th St","25.787769999999998","-80.216149999999999","33125-1610","","","","Uhealth University Of Miami Health System"
"11175 Campus St","34.050660000000001","-117.26553","92350-1700","","","","Loma Linda University Health"
"1211 Medical Center Dr","36.141269999999999","-86.801969999999997","37232-0004","","","","Vanderbilt Health"
"165 Cambridge St Ste 820","42.361710000000002","-71.065340000000006","02114-2747","","","","Mass General Neurology Neuromuscular"
"800 Prudential Dr","30.315239999999999","-81.663979999999995","32207-8202","","","1578620449","Baptist Medical Center Jacksonville"
"1500 Cooper St Fl 4","32.736939999999997","-97.342789999999994","76104-2710","","","","Cook Childrens Jane And John Justin Neurosciences Center"
"622 W 168th St","40.841320000000003","-73.940669999999997","10032-3720","","","1790904175","Specialty Practices At Columbia University Medical Center"
"4924 Campbell Blvd Ste 105","39.373199999999997","-76.460819999999998","21236-5909","","","","Johns Hopkins Medical Imaging White Marsh"
"909 Fulton St SE Fl 3","44.970230000000001","-93.225543999999999","55455-4800","","","1275917312","M Health Fairview Clinics And Surgery Center-Minneapolis General Surgery"
"101 Manning Dr","35.904440000000001","-79.048940000000002","27514-4220","","","","UNC Hospitals Childrens Specialty Clinic"
"10 Duke Medicine Cir","36.004607","-78.935878000000002","27710-1000","","Yes/True","","Duke Medicine Pavilion"
"3801 Miranda Ave","37.405079999999998","-122.14035","94304-1207","","","1679786289","VA Palo Alto Healthcare System"
"3535 Olentangy River Rd","40.029949999999999","-83.034890000000004","43214-3908","","","1891932646","Ohiohealth Riverside Methodist Hospital"
"508 Fulton St","36.00949","-78.939269999999993","27705-3875","","","1891754636","Durham VAMC Pharmacy"
"410 W 10th Ave","39.994101000000001","-83.017471","43210-1240","","Yes/True","1447359997","Ohio State University Hospital"
"1001 S George St","39.945889999999999","-76.718289999999996","17403-3676","","","1518005586","Wellspan York Hospital"
"171 Ashley Ave","32.784750000000003","-79.947680000000005","29425-8908","","","1679664353","MUSC Health University Medical Center"
"25 N Winfield Rd","41.872736000000003","-88.158299","60190-1222","1","Yes/True","1740230895","Northwestern Medicine Central Dupage Hospital"
"1 Akron General Ave","41.077500000000001","-81.530810000000002","44307-2432","","Yes/True","1821035940","Akron General Hospital"
"1 Perkins Sq","41.078769999999999","-81.524979999999999","44308-1063","1","Yes/True","1861506560","Akron Childrens Hospital"
"1500 SW 10th Ave","39.052689999999998","-95.696240000000003","66604-1301","","","1194782409","Stormont Vail Hospital"
"1 Tampa General Cir","27.938030000000001","-82.459019999999995","33606-3571","","","1235196510","Tampa General Hospital"
"3350 La Jolla Village Dr","32.873950000000001","-117.23146","92161-0002","","","1952335127","Jennifer Moreno Department Of Veterans Affairs Medical Center"
"301 E Main St","40.725850000000001","-73.241609999999994","11706-8408","","","1457369381","South Shore University Hospital"
"1250 E Marshall St","37.539990000000003","-77.429370000000006","23298-5023","","","1437175734","VCU Medical Center Main Hospital"
"4301 X St","38.553690000000003","-121.45529000000001","95817-2214","","","1710918545","University Of California Davis Medical Center"
"5200 Fairview Blvd","45.321750000000002","-92.999989999999997","55092-8013","","","1134280035","M Health Fairview Lakes Medical Center"
"1233 N 30th St","45.793390000000002","-108.51907","59101-0127","","","1083655997","St Vincent Regional Hospital"
"1800 Mulberry St","41.400460000000002","-75.646159999999995","18510-2369","","Yes/True","1255540647","Geisinger Community Medical Center"
"2525 Glenn Hendren Dr","39.273800000000001","-94.423469999999995","64068-9625","","","1811036726","Liberty Hospital"
"3000 New Bern Ave","35.784860000000002","-78.587689999999995","27610-1215","","","1972579837","Wakemed Raleigh Campus"
"500 W Grant St","44.458739999999999","-92.285780000000003","55041-1143","","","1538113022","Mayo Clinic Health System In Lake City"
"23845 McBean Pkwy","34.397790000000001","-118.55377","91355-2001","","","1780668434","Henry Mayo Newhall Hospital"
"13123 E 16th Ave","39.740768000000003","-104.835661","80045-7106","","","","MDA-Childrens Hospital Of Colorado"
"1800 Orleans St","39.295360000000002","-76.592140000000001","21287-0010","","","1982136008","Johns Hopkins Hospital"
"1935 Medical District Dr Ste C3035","32.809510000000003","-96.83766","75235-7701","","","","Childrens Medical Center Dallas Cardiology"
"820 S Damen Ave","41.870780000000003","-87.677180000000007","60612-3728","","","1013131085","Jesse Brown Department Of Veterans Affairs Medical Center"
"593 Eddy St","41.81129","-71.407219999999995","02903-4923","","","1942399423","Rhode Island Hospital Pharmacy"
"200 S Manchester Ave Ste 110","33.788460000000001","-117.89368","92868-3214","","","1134560790","University Of California At Irvine Health ALS And Neuromuscular Center"
"7777 Forest Ln","32.911459999999998","-96.774479999999997","75230-2501","","","1689628984","Medical City Childrens Hospital"
"13101 Bruce B Downs Blvd","28.066189999999999","-82.425340000000006","33612-3803","","","","USF Health Department Of Pediatrics Division Of Nephrology"
"17 Davis Blvd Ste 101","27.936140000000002","-82.459379999999996","33606","","","","USF Health Department Of Pediatrics Division Of Adolescent Medicine"
"12901 Bruce B Downs Blvd","28.062909999999999","-82.425979999999996","33612-4742","","","","USF Health System"
"1505 9th Ave","40.511789999999998","-78.400589999999994","16602-2416","","","","University Orthopedics Center"
"675 N Saint Clair St Ste 701","41.894469999999998","-87.622649999999993","60611-5932","","","","Northwestern Medical Center-Neurology"
"30 Bergen St 1205","40.744390000000003","-74.190129999999996","07107-3000","","","1073523676","University Physicians Associates Of New Jersey Inc Suite 1205"
"100 Nicolls Rd Ste 060","40.823751000000001","-73.047818000000007","11794-0001","","","1225023963","Stony Brook University Physicians Anesthesiology"
"21840 Normandie Ave Ste 700","33.828969999999998","-118.29917","90502-2047","","","1609226877","Prohealth Partners A Medical Group Inc"
"2808 S 143rd Plz","41.232410000000002","-96.135890000000003","68144-5611","","","1356345318","Orthonebraska Hospital"
"11616 Lake Underhill Rd Ste 215","28.54542","-81.215140000000005","32825-4465","","","1033230347","Orlando Heart And Vascular Center LLC"
"200 Hawkins Dr","41.659061000000001","-91.549909999999997","52242-1009","","","","Department Of Pediatrics University Of Iowa Hospitals"
"303 E Superior St","41.895791000000003","-87.620301999999995","60611-3015","","","","Robert H Lurie Comprehensive Cancer Center Of Northwestern University"
"101 The City Dr S Bldg 55","33.786470000000001","-117.88972","92868-3201","","","","UC Irvine Department Of Neurological Surgery"
"4102 24th St Ste 409","33.572434999999999","-101.90029199999999","79410-1804","","","","Associates In Pain Management PA"
"11279 Perry Hwy Ste 202","40.622199999999999","-80.054749999999999","15090-9303","","","","Childrens Pine Center UPMC"
"733 Washington Rd Ste 204","40.379100000000001","-80.045060000000007","15228-2030","","","","UPMC South Hills Department Of Neurology"
"675 Arapeen Dr Ste 205","40.740344999999998","-111.82719899999999","84108","","","","Utah Center For Reproductive Medicine"
"2512 S 7th St","44.967019999999998","-93.235370000000003","55454-1404","","","","M Health Fairview Center For Safe And Healthy Children"
"25 Courtenay Dr","32.78302","-79.950890000000001","29425-8911","","","1275840423","MUSC Health Ashley River Tower"
"1653 W Congress Pkwy","41.875010000000003","-87.667990000000003","60612-3833","","","","Rush Childrens Hospital"
"3175 E Carson St","40.423929999999999","-79.961160000000007","15203-2130","","","","H C Pharmacy Central Inc"
"730 Welch Rd","37.436857000000003","-122.172541","94304-1503","","","","Healthsouth Ucss"
"711 Stanton L Young Blvd Ste 619","35.48048","-97.499679999999998","73104-5022","","","","Philip B Minor Jr MD"
"395 W 12th Ave","39.996040000000001","-83.017870000000002","43210-1267","","","1427489426","OSU Neuroscience Center"
"7001 Corporate Dr Ste 120","29.703019999999999","-95.550989999999999","77036-5113","","","1699966754","Hope Clinic"
"675 N Saint Clair St Ste 20-100","41.894452000000001","-87.622750999999994","60611-5970","","","","Northwestern University Department Sleep Disorder"
"4401 Penn Ave Fl 2","40.466410000000003","-79.95299","15224-1334","","","","Chronic Pain At Pediatric Physical Medicine And Rehabilitation In Lawrenceville"
"1405 Clifton Rd NE G/F","33.793669999999999","-84.319630000000004","30322-1062","","","","Childrens Physicians Group-Hospitalists At Egleston"
"213 Quarry Rd","37.441609999999997","-122.16924","94304-1416","","Yes/True","","Stanford Neuroscience Health Center"
"6701 Fannin St Ste 1610","29.706880000000002","-95.4024","77030-2615","","","","Texas Childrens Hospital-Wallace Tower-Ste 1610"
"601 N Caroline St","39.296979999999998","-76.595219999999998","21287-0006","1","Yes/True","1609423854","The Johns Hopkins Hospital"
"100 N Mario Capecchi Dr","40.770659999999999","-111.83922","84113-1103","","","1235148594","Primary Childrens Hospital"
"2500 Metrohealth Dr","41.461950000000002","-81.697059999999993","44109-1900","","","1851551733","Metrohealth Main Campus Medical Center"
"1400 E Boulder St","38.839739999999999","-104.79919","80909-5533","","","1568668754","UC Health Memorial Central Hospital"
"1601 Golf Course Rd","47.220239999999997","-93.552710000000005","55744-8648","","","1669426631","Grand Itasca Clinic And Hospital"
"3333 Burnet Ave","39.141170000000002","-84.502380000000002","45229-3026","1","Yes/True","1548212988","Cincinnati Childrens Hospital Medical Center"
"1 Boston Medical Ctr Pl","42.334620000000001","-71.073279999999997","02118-2908","","","1801157193","Boston Medical Center"
"1600 Rockland Rd","39.779409999999999","-75.555530000000005","19803-3607","","","1467505073","Nemours Childrens Hospital Delaware"
"1221 S Gear Ave","40.807380000000002","-91.170419999999993","52655-1679","","","1134168263","Southeast Iowa Regional Medical Center West Burlington Campus"
"7777 Forest Ln","32.911459999999998","-96.774479999999997","75230-2571","","","1023180502","Medical City Dallas"
"1 Childrens Pl","38.637749999999997","-90.26491","63110-1002","","","1992727663","St Louis Childrens Hospital"
"1 Barnes Jewish Hospital Plz","38.635280000000002","-90.263149999999996","63110-1003","","","1649299827","Barnes-Jewish Hospital"
"1233 E 2nd St","42.848019999999998","-106.30907000000001","82601-2926","","","1346332954","Banner Wyoming Medical Center"
"700 Childrens Dr","39.952460000000002","-82.979519999999994","43205-2664","1","Yes/True","1134152986","Nationwide Childrens Hospital"
"701 Park Ave","44.972099999999998","-93.2624","55415-1623","","","1285018218","Hennepin Healthcare"
"502 W Highland Blvd","28.833100000000002","-82.335859999999997","34452-4720","","","1750780342","HCA Florida Citrus Hospital"
"1959 NE Pacific St Fl 8","47.649090000000001","-122.30703","98195-0001","","","","University Of Washington Rehabilitation Medicine Clinic At UW Medical Center-Montlake"
"1000 Hospital Dr","38.378889999999998","-97.672489999999996","67460-2326","","","1730297409","Mcpherson Hospital"
"2350 N Stemmons Fwy","32.806789999999999","-96.837280000000007","75207-2700","","","","Childrens Health Specialty Center Dallas Campus"
"2805 Dodd Rd Ste 250","44.855139999999999","-93.130420000000001","55121-2123","","","","VISN 23 Midwest Healthcare Network"
"194 Finley Golf Course Rd Ste 200","35.905119999999997","-79.019829999999999","27517-4403","","","","UNC Neurodevelopmental Child Psychiatry Clinic"
"180 Fort Washington Ave Fl 5","40.840690000000002","-73.941640000000007","10032","","","","Cuimc Harkness Pavilion Pediatric Neurology"
"140 Allen Rd","40.648200000000003","-74.585070000000002","07920-2976","","","1992712558","RMA Of NJ Basking Ridge"
"6621 Fannin St","29.70815","-95.400369999999995","77030-2303","","","1477643690","Texas Childrens Hospital"
"3495 Bailey Ave","42.951219999999999","-78.813599999999994","14215-1129","","","1740238252","Buffalo VA Medical Center"
"3401 Civic Center Blvd","39.948439999999998","-75.194699999999997","19104-4319","","","1295820256","Childrens Hospital Of Philadelphia"
"2211 N Oak Park Ave","41.91677","-87.794650000000004","60707-3351","","","1871930693","Shriners Hospitals For Children Anesthesia Sertvices"
"1000 S Limestone","38.031440000000003","-84.509349999999998","40506-0007","","","1568699965","Uk Albert B Chandler Hospital"
"2512 7th St NE Fl 3","45.013564000000002","-93.257773","55418-2839","","","","M Health Fairview Pediatric Specialty Clinic-Discovery"
"Ave Neurology Service 1400 Nw 12th","25.786565","-80.203778999999997","33136","","","","Uhealth Tower Neurology"
"326 Santa Fe Dr Fl 2-3","33.040329999999997","-117.28509","92024","","","","Scripps Clinic Encinitas-326 Santa Fe"
"200 Abraham Flexner Way Ste 1104","38.249180000000003","-85.751249999999999","40202-2878","","","1972688471","Kindred Hospital Louisville At Jewish Hospital"
"7111 S Virginia St Ste A 8","39.461849999999998","-119.78322","89511-1183","","","1487690350","Reno Family Physicians"
"4901 Lac De Ville Blvd Bldg D","43.11439","-77.593440000000001","14618","","","1003304635","University Orthopedics Associates Or Rochester"
"800 E 55th St","41.794930000000001","-87.606081000000003","60615-4906","","","","University Of Chicago Physicians Frenden Family Center"
"4940 Eastern Ave","39.287370000000003","-76.550349999999995","21224-2735","","","","Johns Hopkins Bayside Vascular Surgery"
"5161 Harry Hines Blvd Ste 104","32.810850000000002","-96.838059999999999","75235-7707","","","","UT Southwestern-Physical Medicine And Rehabilitation"
"729 Arapeen Dr","40.740344999999998","-111.82719899999999","84108-1207","","","","University Utah Neurology Clinic"
"55 Fruit St","42.362481000000002","-71.069783000000001","02114-2621","","","","MGH Clinical Neurophysiology"
"13123 E 16th Ave","39.740768000000003","-104.835661","80045-7106","","","","Anschutz Medical Campus Aurora-Developmental Pediatrics"
"95 Old Short Hills Rd","40.7637","-74.301280000000006","07052-1008","","","","Rwjbh Accountable Care LLC"
"3030 Childrens Way Fl 2","32.798940000000002","-117.15107999999999","92123","","","","Childrens Specialists Of San Diego Gastroenterology"
"3370 E Jefferson Ave Unit K","42.342185000000001","-83.013480000000001","48207-4236","","","","Harbortown Center"
"16303 Horace Harding Expy Fl 4","40.738768999999998","-73.805609000000004","11365-1449","","","1003114851","Orthopedics And Sports Medicine Center"
"9325 Sky Park Ct Ste 310","32.815770000000001","-117.12469","92123-4368","","","1447318092","Lorian Health"
"3333 Burnet Ave","39.140659999999997","-84.501000000000005","45229-3026","","","","Cincinnati Childrens Burnet Campus-Pediatric Pulmonary"
"170 Manning Dr","35.902569999999997","-79.049890000000005","27514-4221","","","","UNC School Of Medicine Neurology Department"
